2nd Edition,,,Read,Left,Chapter Pages,Chapter Read,Chapter Left
Chapter 6: Interfacing Actuators and Sensors to the Robot Controller,122,1,,1,44,0,44
Technical requirements,123,0,,0,,,
Interfacing DC geared motor to Tiva C LaunchPad,123,3,,3,,,
Differential wheeled robot,126,1,,1,,,
Installing Energia IDE,127,6,,6,,,
Motor interfacing code,133,3,,3,,,
Interfacing quadrature encoder with Tiva C Launchpad,136,1,,1,,,
Processing encoder data,137,4,,4,,,
Quadrature encoder interfacing code,141,3,,3,,,
Working with Dynamixel actuators,144,3,,3,,,
Working with ultrasonic distance sensors,147,1,,1,,,
Interfacing HC-SR04 to Tiva C LaunchPad,148,1,,1,,,
Working of HC-SR04,149,1,,1,,,
Interfacing Code of Tiva C Launchpad,150,2,,2,,,
Interfacing Tiva C LaunchPad with Python,152,2,,2,,,
Working with the IR proximity sensor,154,3,,3,,,
Working with Inertial Measurement Units,157,0,,0,,,
Inertial navigation,157,2,,2,,,
Interfacing MPU 6050 with Tiva C LaunchPad,159,1,,1,,,
Setting the MPU 6050 library in Energia,160,2,,2,,,
Interfacing code of Energia,162,3,,3,,,
Summary,165,0,,0,,,
Questions,165,0,,0,,,
Further reading,165,1,,1,,,
Chapter 7: Interfacing Vision Sensors with ROS,166,1,,1,28,0,28
Technical requirements,167,0,,0,,,
List of robotic vision sensors and image libraries,167,0,,0,,,
Pixy2/CMUcam5,167,1,,1,,,
Logitech C920 webcam,168,1,,1,,,
Kinect 360,169,1,,1,,,
Intel RealSense D400 series,170,1,,1,,,
Orbbec Astra depth sensor,171,2,,2,,,
"Introduction to OpenCV, OpenNI, and PCL",173,0,,0,,,
What is OpenCV?,173,1,,1,,,
Installation of OpenCV from the source code in Ubuntu,174,1,,1,,,
Reading and displaying an image using the Python-OpenCV interface,175,1,,1,,,
Capturing from the web camera,176,2,,2,,,
What is OpenNI?,178,1,,1,,,
Installing OpenNI in Ubuntu,179,1,,1,,,
What is PCL?,180,0,,0,,,
"Programming Kinect with Python using ROS, OpenCV, and OpenNI",180,1,,1,,,
How to launch the OpenNI driver,181,0,,0,,,
The ROS interface with OpenCV,181,1,,1,,,
Creating a ROS package with OpenCV support,182,1,,1,,,
"Displaying Kinect images using Python, ROS, and cv_bridge",183,4,,4,,,
Interfacing Orbbec Astra with ROS,187,0,,0,,,
Installing the Astra–ROS driver,187,0,,0,,,
"Working with point clouds using Kinect, ROS, OpenNI, and PCL",187,1,,1,,,
Opening the device and generating a point cloud,188,1,,1,,,
Conversion of point cloud data to laser scan data,189,2,,2,,,
Working with SLAM using ROS and Kinect,191,1,,1,,,
Summary,192,1,,1,,,
Questions,193,0,,0,,,
Further reading,193,1,,1,,,
Chapter 8: Building ChefBot Hardware and the Integration of Software,194,1,,1,31,0,31
Technical requirements,195,0,,0,,,
Building ChefBot hardware,195,5,,5,,,
Configuring ChefBot PC and setting ChefBot ROS packages,200,1,,1,,,
Interfacing ChefBot sensors to the Tiva-C LaunchPad,201,1,,1,,,
Embedded code for ChefBot,202,3,,3,,,
Writing a ROS Python driver for ChefBot,205,6,,6,,,
Understanding ChefBot ROS launch files,211,1,,1,,,
Working with ChefBot Python nodes and launch files,212,8,,8,,,
Working with SLAM on ROS to build a map of the room,220,1,,1,,,
Working with ROS localization and navigation,221,2,,2,,,
Summary,223,1,,1,,,
Questions,224,0,,0,,,
Further reading,224,1,,1,,,
Chapter 9: Designing a GUI for a Robot Using Qt and Python,225,0,,0,21,0,21
Technical requirements,225,1,,1,,,
Installing Qt on Ubuntu 16.04 LTS,226,1,,1,,,
Working with Python bindings of Qt,227,0,,0,,,
PyQt,227,0,,0,,,
Installing PyQt in Ubuntu 16.04 LTS,227,1,,1,,,
PySide,228,0,,0,,,
Installing PySide on Ubuntu 16.04 LTS,228,0,,0,,,
Working with PyQt and PySide,228,1,,1,,,
Introducing Qt Designer,229,1,,1,,,
Qt signals and slots,230,2,,2,,,
Converting a UI file into Python code,232,1,,1,,,
Adding a slot definition to PyQt code,233,3,,3,,,
Operation of the Hello World GUI application,236,0,,0,,,
Working with ChefBot's control GUI,236,7,,7,,,
Installing and working with rqt in Ubuntu 16.04 LTS,243,3,,3,,,
Summary Questions Further reading,246,0,,0,,,
Assessments,246,0,,0,,,
Other Books You May Enjoy,246,0,,0,,,
Index,246,0,,,,,
,,246,105,141,"42,68%",,
